NOMBRE,CVE_ESTADO,CVE_MPIO,distancia_km,Hectares,NOM_NA
GRAL. ADALBERTO TEJEDA Y SU ANEXO GRACIANO SANCHEZ,30,160,0.7531409890690356,,GRAL. ADALBERTO TEJEDA Y SU ANEXO
AGUA NACIDA,30,160,4.250996834548781,,AGUA NACIDA  Y ANEXOS
GRAL. ADALBERTO TEJEDA Y SU ANEXO GRACIANO SANCHEZ,30,160,1.3097573801996842,,GRAL. ADALBERTO TEJEDA Y SU ANEXO
EL JARDIN,30,160,1.232690706998323,,EL JARDIN
KILOMETRO 33 Y PASO REAL VIEJO,30,160,3.4025452915494445,,KILOMETRO 33  PASO REAL VIEJO
HIDALGO AMAJAC,30,160,2.651036205266593,,HIDALGO AMAJAC
AGUA NACIDA,30,160,1.0176337995407951,,AGUA NACIDA  Y ANEXOS
PUEBLO NUEVO DE ALAMO,30,160,2.847431596950596,,PUEBLO NUEVO DE ALAMO
LA UNION,30,160,0.06428184697119695,,LA UNION
ESTERO DEL IDOLO,30,160,0.24863789335182834,,ESTERO DEL IDOLO
BUENA VISTA MOLINO Y ANEXOS,30,160,1.2357333399729968,,BUENAVISTA MOLINO Y ANEXOS
LA CONCEPCION,30,160,2.8929488708759137,,LA CONCEPCION
HIDALGO AMAJAC,30,160,0.05945638967790005,,HIDALGO AMAJAC
CITLALTEPETL,30,160,0.7172163325406695,,CITLALTEPETL
PASO REAL,30,160,2.7075346417184303,,PASO REAL
LA REFORMA,30,160,3.7271621528348198,,LA REFORMA
ZANJA DEL BOTE,30,160,1.4686170241792962,,ZANJA DEL BOTE
BUENOS AIRES,30,160,0.1857659619710133,,BUENOS AIRES
LA ESPERANZA,30,160,1.7678900654269185,,LA ESPERANZA
"LAS CA?AS Y SUS ANEXOS COYOLAR, COYOL CUATE, CHALAHUITE, GRANADILLA Y LA FLORIDA",30,160,2.5309284477979896,,LAS CAÑAS Y ANEXOS
CERRO DULCE,30,160,3.170257754104816,,CERRO DULCE
CERRO DULCE,30,160,1.5501553824649041,,CERRO DULCE
EL TERRERO,30,175,3.2714491245958355,,EL TERRERO
"LAS CA?AS Y SUS ANEXOS COYOLAR, COYOL CUATE, CHALAHUITE, GRANADILLA Y LA FLORIDA",30,160,0.8417433071148243,,LAS CAÑAS Y ANEXOS
"LAS CA?AS Y SUS ANEXOS COYOLAR, COYOL CUATE, CHALAHUITE, GRANADILLA Y LA FLORIDA",30,160,0.03161416093945967,,LAS CAÑAS Y ANEXOS
ZIPATLAN,30,175,2.309698927860782,,ZIPATLAN
LA CEIBA,30,157,2.2348699588680794,,LA CEIBA
FRANCISCO VILLA,30,175,2.269869067458205,,FRANCISCO VILLA ANTES TARRAL
LA ESFERA,30,175,1.0580794413059247,,LA ESFERA
TECOMATE Y ANEXO LAS PUENTES,30,175,2.049765455561691,,TECOMATE Y ANEXO LAS PUENTES
TECOMATE Y ANEXO LAS PUENTES,30,175,1.0277766827549808,,TECOMATE Y ANEXO LAS PUENTES
TIHUATLAN Y SU ANEXO COLONIA BENITO JUAREZ,30,175,0.31670446121926543,,TIHUATLAN Y ANEXO
LA REFORMA,30,175,4.556333973129177,,LA REFORMA
LA REFORMA,30,175,2.0669986968653715,,LA REFORMA
BUENA VISTA,30,175,1.476157919493623,,BUENA VISTA
NUEVO PROGRESO,30,175,1.3468049726698095,,PROGRESO O NUEVO PROGRESO
NUEVO PROGRESO,30,175,1.1799215113144188,,PROGRESO O NUEVO PROGRESO
RANCHO NUEVO,30,175,3.353550193609163,,RANCHO NUEVO
LA ISLA,30,175,2.2300733541621227,,LA ISLA
LAZARO CARDENAS,30,175,0.08997210859201411,,LAZARO CARDENAS
POZA RICA DE CUERO,30,131,1.789699185837832,,POZA DE CUERO
SAN MIGUEL MECATEPEC,30,175,1.2072327167207413,,SAN MIGUEL MECATEPEC
ARROYO DEL MAIZ,30,131,2.5183198626403347,,ARROYO DEL MAIZ
RICARDO FLORES MAGON,30,175,0.31560340449469065,,RICARDO FLORES MAGON
ZACATE COLORADO,30,175,2.6770757590406165,,ZACATE COLORADO
ESCOLIN DE OLARTE,30,040,2.1278230548563726,,ESCOLIN DE OLARTE
COATZINTLA,30,040,4.010276325801803,,COATZINTLA
ESCOLIN DE OLARTE,30,040,0.5290442890221964,,ESCOLIN DE OLARTE
LA CONCHA,30,124,2.547880111834419,,LA CONCHA
SAN PABLO,30,124,0.4388670543120623,,SAN PABLO
EL COCO,30,069,0.9643402560506774,,EL COCO
EL PALMAR,30,124,0.5211209317503321,,EL PALMAR
CACAHUATAL,30,069,1.6241884573132646,,CACAHUATAL
EL PALMAR,30,124,0.5910462840733332,,EL PALMAR
EL PALMAR,30,124,0.36151012478458594,,EL PALMAR
IGNACIO MU?OZ,30,069,1.7720619154292991,,IGNACIO MUÑOZ
SANTA ROSA,30,069,3.0381072148152413,,SANTA ROSA
CACAHUATAL,30,069,1.038097507646476,,CACAHUATAL
IGNACIO MU?OZ,30,069,2.151620268029165,,IGNACIO MUÑOZ
CRUZ DE LOS ESTEROS,30,158,2.044152546323473,,CRUZ DE LOS ESTEROS
SAN ANTONIO CORONADO,30,069,2.4309344858469357,,SAN ANTONIO CORONADO
EL COCO,30,069,2.149549733380877,,EL COCO
SAN ANTONIO CORONADO,30,069,3.279615613296035,,SAN ANTONIO CORONADO
ANCLON Y ARENAL,30,069,2.6591962222197254,,ANCLON Y ARENAL
LA VICTORIA,30,158,2.5269701758267673,,LA VICTORIA
EL PALMAR,30,124,1.8616815530418427,,EL PALMAR
SOTO Y GAMA,30,069,0.5193313756140588,,SOTO Y GAMA
SOTO Y GAMA,30,069,0.4828184004750761,,SOTO Y GAMA
